instant,dteday,temp,atemp,hum,windspeed,casual,registered,cnt,atemp_mul_atemp,hum_mul_windspeed,temp_div_atemp,temp_mul_temp,weathersit_div_temp,season_1,season_2,season_3,season_4,yr_0,yr_1,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,holiday_0,holiday_1,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,workingday_0,workingday_1,weathersit_1,weathersit_2,weathersit_3
14,2011-01-14,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.035499458569,0.068060804648,0.8538158195029006,0.025879156900000005,6.216199415677254,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
15,2011-01-15,0.23333299999999998,0.248112,0.49875,0.15796300000000002,222,1026,1248,0.061559564544,0.07878404625000002,0.9404341587670084,0.05444428888899999,8.571440816344024,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
16,2011-01-16,0.231667,0.234217,0.48375,0.188433,251,953,1204,0.05485760308900001,0.09115446375,0.9891126604815192,0.053669598889000004,4.316540551740213,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
17,2011-01-17,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.031247986441000006,0.1042841375,0.9946936997584445,0.030917243888999996,11.374429145837244,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
18,2011-01-18,0.216667,0.23233299999999998,0.861667,0.146775,9,674,683,0.053978622888999996,0.12647117392499999,0.9325709219095006,0.046944588889,9.230755029607646,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
19,2011-01-19,0.292174,0.29842199999999997,0.741739,0.208317,78,1572,1650,0.08905569008399998,0.154516843263,0.9790632057958194,0.08536564627599999,6.845236057965459,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
20,2011-01-20,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0.0650505025,0.10546158803199998,1.0259439325622426,0.068469618889,7.643302365219918,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
21,2011-01-21,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.024911255889,0.161460913086,1.1246063877642825,0.03150625,5.633802816901409,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
22,2011-01-22,0.0591304,0.0790696,0.4,0.17197,93,888,981,0.006252001644160001,0.068788,0.7478272306929591,0.00349640420416,16.91177465398509,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
23,2011-01-23,0.0965217,0.09883910000000001,0.436522,0.2466,150,836,986,0.009769167688810003,0.10764632520000002,0.9765538132176436,0.00931643857089,10.360364560508154,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
24,2011-01-24,0.0973913,0.11793,0.49173900000000004,0.15833,86,1330,1416,0.013907484899999998,0.07785703587000001,0.8258399050284068,0.00948506531569,10.267857601243643,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
25,2011-01-25,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0.055002444676000004,0.08007855077199999,0.9528922166412253,0.049942416484,8.94942678921415,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
26,2011-01-26,0.2175,0.2036,0.8625,0.29385,34,472,506,0.041452960000000004,0.253445625,1.068271119842829,0.04730625,13.793103448275863,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
27,2011-01-27,0.195,0.2197,0.6875,0.113837,15,416,431,0.04826809,0.07826293749999999,0.8875739644970414,0.038025,5.128205128205128,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
28,2011-01-28,0.203478,0.22331700000000002,0.793043,0.1233,38,1129,1167,0.04987048248900001,0.09778220190000002,0.9111621596206289,0.041403296484,9.82907243043474,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
29,2011-01-29,0.196522,0.212126,0.6517390000000001,0.14536500000000002,123,975,1098,0.044997439876,0.09474003973500003,0.9264399460697886,0.038620896484,5.088488820590061,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
30,2011-01-30,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0.06266110368399999,0.0534283101724,0.8649739135992841,0.046881776484,4.618468331162654,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
31,2011-01-31,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.0346890625,0.11301717,0.9709154362416107,0.032700573888999995,11.059928221065846,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
32,2011-02-01,0.192174,0.23453000000000002,0.829565,0.053212999999999996,47,1313,1360,0.05500432090000001,0.044143642345,0.8194005031339274,0.036930846276000004,10.407235109848365,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
33,2011-02-02,0.26,0.254417,0.775417,0.264308,72,1454,1526,0.064728009889,0.204948916436,1.021944288314067,0.06760000000000001,7.692307692307692,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
34,2011-02-03,0.18695699999999998,0.177878,0.43782600000000005,0.277752,61,1489,1550,0.031640582884000006,0.12160704715200002,1.0510406008612643,0.034952919848999994,5.348823526265399,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
35,2011-02-04,0.211304,0.22858699999999998,0.585217,0.127839,88,1620,1708,0.05225201656899999,0.074813556063,0.9243920257932429,0.044649380415999994,9.465036156438117,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
36,2011-02-05,0.23333299999999998,0.243058,0.929167,0.161079,100,905,1005,0.059077191364,0.149669291193,0.9599889738251774,0.05444428888899999,8.571440816344024,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
37,2011-02-06,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0.08507197224100001,0.0805896194,0.9799842973761532,0.081700503889,3.498546353989917,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
38,2011-02-07,0.271667,0.303658,0.738333,0.045408300000000006,120,1592,1712,0.09220818096399999,0.0335264463639,0.8946479262854923,0.073802958889,3.680977078555732,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
39,2011-02-08,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0.039301476516,0.19469905815,1.1139342029599588,0.048767213889,4.52830872197543,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
40,2011-02-09,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0.020817584089,0.093434326937,0.9341571772142248,0.018166457088999995,14.838666597419557,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
41,2011-02-10,0.144348,0.14954800000000001,0.437391,0.221935,47,1491,1538,0.022364604304000005,0.097072371585,0.9652285553802123,0.020836345104000002,6.927702496743979,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
42,2011-02-11,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0.045586093081,0.0549658122,0.8856347975963543,0.035755406281000005,5.2884589959331745,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
43,2011-02-12,0.2225,0.232954,0.544167,0.20336700000000002,288,1184,1472,0.054267566116,0.110665610289,0.955124187607854,0.04950625,4.49438202247191,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
44,2011-02-13,0.31652199999999997,0.324113,0.457391,0.260883,397,1192,1589,0.10504923676899999,0.11932553625299999,0.9765791560350865,0.10018617648399998,3.159338055490614,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
45,2011-02-14,0.415,0.39835,0.375833,0.417908,208,1705,1913,0.15868272249999998,0.15706361736399999,1.0417974143341282,0.172225,2.4096385542168677,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
46,2011-02-15,0.26608699999999996,0.254274,0.314348,0.29137399999999997,140,1675,1815,0.064655267076,0.091592834152,1.0464577581663872,0.07080229156899998,3.758169320560569,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
47,2011-02-16,0.318261,0.3162,0.42347799999999997,0.251791,218,1897,2115,0.09998243999999999,0.10662794909799998,1.006518026565465,0.10129006412100001,3.1420752149964963,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
48,2011-02-17,0.43583299999999997,0.428658,0.505,0.230104,259,2216,2475,0.183747680964,0.11620252,1.016738285532989,0.18995040388899997,2.2944568217643,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
49,2011-02-18,0.521667,0.511983,0.516667,0.264925,579,2348,2927,0.262126592289,0.136878004975,1.018914690526834,0.272136458889,1.9169316824717684,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
50,2011-02-19,0.399167,0.391404,0.187917,0.507463,532,1103,1635,0.15319709121599998,0.095360924571,1.019833726788689,0.159334293889,2.5052171146412405,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
51,2011-02-20,0.285217,0.27733,0.407826,0.223235,639,1173,1812,0.07691192890000001,0.09104103711,1.0284390437385065,0.08134873708899999,3.506102371177034,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
52,2011-02-21,0.303333,0.284075,0.605,0.307846,195,912,1107,0.08069860562500002,0.18624683,1.0677919563495555,0.09201090888900001,6.593413838916306,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
53,2011-02-22,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0.034608277089,0.113061332374,0.9795143872323727,0.033204857284,5.487811570501916,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
54,2011-02-23,0.221739,0.24571700000000002,0.423043,0.094113,139,1778,1917,0.06037684408900001,0.039813845859000004,0.9024161942397146,0.049168184121,4.509806574396024,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
55,2011-02-24,0.295652,0.289191,0.697391,0.250496,100,1707,1807,0.08363143448099998,0.174693655936,1.0223416358047106,0.08741010510400002,6.764709861594036,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
56,2011-02-25,0.364348,0.350461,0.712174,0.346539,120,1341,1461,0.12282291252100001,0.24679606578599997,1.0396249511357896,0.13274946510400001,5.489257523027435,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
57,2011-02-26,0.2825,0.282192,0.537917,0.18657100000000001,424,1545,1969,0.079632324864,0.10035971260700001,1.001091455462947,0.07980624999999998,3.5398230088495577,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
58,2011-02-27,0.343478,0.351109,0.68,0.125248,694,1708,2402,0.123277529881,0.08516864,0.9782660085614439,0.117977136484,2.911394616249076,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
59,2011-02-28,0.407273,0.400118,0.8763639999999999,0.289686,81,1365,1446,0.16009441392399998,0.253870381704,1.0178822247437007,0.16587129652899998,4.910710997291743,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
60,2011-03-01,0.266667,0.263879,0.535,0.216425,137,1714,1851,0.06963212664099999,0.11578737500000001,1.010565448557862,0.071111288889,3.7499953125058596,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
61,2011-03-02,0.335,0.320071,0.449583,0.30783299999999997,231,1903,2134,0.10244544504099999,0.13839648363899998,1.0466427761340453,0.11222500000000002,2.9850746268656714,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
62,2011-03-03,0.19833299999999998,0.200133,0.318333,0.225754,123,1562,1685,0.040053217689000005,0.071864948082,0.9910059810226198,0.03933597888899999,5.042025280714758,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
63,2011-03-04,0.261667,0.255679,0.610417,0.203346,214,1730,1944,0.065371751041,0.124125855282,1.0234199914736837,0.068469618889,7.643302365219918,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
64,2011-03-05,0.384167,0.378779,0.789167,0.251871,640,1437,2077,0.14347353084099998,0.19876828145699998,1.0142246534258763,0.147584283889,5.2060692355147635,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
65,2011-03-06,0.37652199999999997,0.366252,0.948261,0.343287,114,491,605,0.13414052750400002,0.325525673907,1.028040802507563,0.14176881648399997,5.3117746107797155,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
66,2011-03-07,0.261739,0.238461,0.551304,0.341352,244,1628,1872,0.056863648521,0.188188723008,1.0976176397817672,0.06850730412099999,3.820599910597962,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
67,2011-03-08,0.2925,0.3024,0.420833,0.12065,316,1817,2133,0.09144576,0.05077350145,0.9672619047619047,0.08555624999999999,3.418803418803419,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
68,2011-03-09,0.295833,0.286608,0.775417,0.22015,191,1700,1891,0.08214414566399998,0.17070805255000002,1.0321868196282031,0.08751716388900001,6.760570997826476,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
69,2011-03-10,0.38909099999999996,0.385668,0.0,0.26187699999999997,46,577,623,0.14873980622400002,0.0,1.008875509505585,0.15139180628099996,7.71027857236482,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
70,2011-03-11,0.31652199999999997,0.305,0.649565,0.23296999999999998,247,1730,1977,0.093025,0.15132915804999997,1.0377770491803278,0.10018617648399998,6.318676110981228,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
71,2011-03-12,0.329167,0.32575,0.594583,0.220775,724,1408,2132,0.1061130625,0.131269061825,1.010489639293937,0.10835091388899999,3.03797160711736,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
72,2011-03-13,0.384348,0.380091,0.5273909999999999,0.270604,982,1435,2417,0.144469168281,0.14271411416399998,1.011199949485781,0.14772338510400002,2.6018087774620913,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
73,2011-03-14,0.32521700000000003,0.332,0.496957,0.136926,359,1687,2046,0.11022400000000002,0.068046334182,0.9795692771084338,0.10576609708900002,3.0748700098703323,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
74,2011-03-15,0.317391,0.318178,0.655652,0.184309,289,1767,2056,0.10123723968400002,0.120842564468,0.9975265417470722,0.10073704688099999,6.301375905428951,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
75,2011-03-16,0.365217,0.36693000000000003,0.776522,0.20311700000000002,321,1871,2192,0.13463762490000003,0.15772481907400002,0.9953315346251328,0.133383457089,5.476196343543701,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
76,2011-03-17,0.415,0.410333,0.602917,0.209579,424,2320,2744,0.168373170889,0.126358741943,1.0113736891744023,0.172225,2.4096385542168677,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
77,2011-03-18,0.54,0.5270090000000001,0.525217,0.231017,884,2355,3239,0.27773848608100005,0.121334055689,1.0246504329148078,0.2916,1.8518518518518516,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
78,2011-03-19,0.4725,0.466525,0.37916700000000003,0.368167,1424,1693,3117,0.21764557562500003,0.13959677688900002,1.01280745940732,0.22325625,2.1164021164021167,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
79,2011-03-20,0.3325,0.32575,0.47375,0.20772100000000002,1047,1424,2471,0.1061130625,0.09840782375000001,1.0207214121258634,0.11055625000000001,3.007518796992481,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
80,2011-03-21,0.430435,0.409735,0.737391,0.288783,401,1676,2077,0.167882770225,0.212945985153,1.0505204583450278,0.185274289225,4.646462299766515,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
81,2011-03-22,0.44166700000000003,0.44064200000000003,0.624583,0.22575,460,2243,2703,0.19416537216400004,0.14099961225000002,1.0023261513882018,0.19506973888900003,2.2641492346043512,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
82,2011-03-23,0.346957,0.337939,0.839565,0.23426100000000002,203,1918,2121,0.11420276772099999,0.19667733646500002,1.0266852893569551,0.12037915984900001,5.7644030816498875,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
83,2011-03-24,0.285,0.270833,0.805833,0.24378699999999998,166,1699,1865,0.07335051388899999,0.196451609571,1.0523089874572154,0.08122499999999999,7.017543859649123,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
84,2011-03-25,0.264167,0.256312,0.495,0.230725,300,1910,2210,0.06569584134399999,0.114208875,1.030646243640563,0.06978420388899999,3.7854841823543444,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
85,2011-03-26,0.265833,0.257571,0.394167,0.209571,981,1515,2496,0.06634282004099999,0.082605972357,1.0320765924735316,0.070667183889,3.76176020283411,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
86,2011-03-27,0.25304299999999996,0.250339,0.493913,0.1843,472,1221,1693,0.06266961492099998,0.0910281659,1.0108013533648372,0.06403075984899997,7.903795007172695,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
87,2011-03-28,0.264348,0.25757399999999997,0.302174,0.212204,222,1806,2028,0.06634436547599998,0.064122531496,1.0262992382771556,0.06987986510400002,3.782892248097205,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
88,2011-03-29,0.3025,0.292908,0.31416700000000003,0.226996,317,2108,2425,0.085795096464,0.071314652332,1.0327474838515847,0.09150625,3.3057851239669422,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
89,2011-03-30,0.3,0.29735,0.646667,0.17288800000000001,168,1368,1536,0.0884170225,0.111800964296,1.008912056499075,0.09,6.666666666666667,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
90,2011-03-31,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0.066344880625,0.199871504118,1.0417664757837524,0.072002598889,11.180138111972811,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
91,2011-04-01,0.3,0.283454,0.68625,0.258708,307,1920,2227,0.080346170116,0.177538365,1.0583727871188977,0.09,6.666666666666667,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
92,2011-04-02,0.315,0.315637,0.65375,0.19714600000000002,898,1354,2252,0.09962671576900001,0.12888419750000002,0.9979818589075425,0.09922500000000001,6.349206349206349,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
93,2011-04-03,0.378333,0.378767,0.48,0.182213,1651,1598,3249,0.14346444028900002,0.08746224,0.9988541768422274,0.143135858889,2.643174134955185,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
